Department,Salary,Year
Fire and Rescue Services,"84,771.36",2014
Fire and Rescue Services,"87,080.26",2014
Planning & Development Svcs,"79,983.78",2014
Human Resource Services,"97,855.23",2014
Fire and Rescue Services,"84,668.58",2014
Real Estate & Facilities Mgmt,"76,444.98",2014
Community Services,"84,495.85",2014
Engineering Services,"78,384.06",2014
Fire and Rescue Services,"96,154.72",2014
Engineering Services,"83,636.74",2014
Planning & Development Svcs,"76,935.12",2014
Human Resource Services,"129,585.73",2014
Engineering Services,"114,732.35",2014
Engineering Services,"84,612.06",2014
Office of the City Manager,"85,798.39",2014
Financial Services,"83,552.78",2014
Engineering Services,"75,593.63",2014
Planning & Development Svcs,"80,839.92",2014
Vancouver Public Library Board,"83,201.80",2014
Engineering Services,"81,552.51",2014
Financial Services,"100,378.70",2014
Planning & Development Svcs,"112,624.31",2014
Fire and Rescue Services,"84,320.37",2014
Fire and Rescue Services,"81,456.21",2014
Human Resource Services,"97,991.89",2014
Fire and Rescue Services,"97,616.03",2014
Financial Services,"135,598.73",2014
Fire and Rescue Services,"84,976.74",2014
Office of the City Manager,"266,781.43",2014
Fire and Rescue Services,"80,483.52",2014
Fire and Rescue Services,"100,738.81",2014
Engineering Services,"107,812.22",2014
Engineering Services,"96,447.63",2014
Fire and Rescue Services,"83,347.79",2014
Office of the City Manager,"120,456.86",2014
Engineering Services,"85,523.32",2014
Office of the City Manager,"111,653.98",2014
Law Department,"159,772.54",2014
Fire and Rescue Services,"102,070.77",2014
Fire and Rescue Services,"84,850.26",2014
Real Estate & Facilities Mgmt,"77,752.37",2014
Community Services,"88,901.04",2014
Engineering Services,"265,175.40",2014
Financial Services,"83,632.52",2014
Fire and Rescue Services,"83,194.14",2014
Planning & Development Svcs,"90,398.88",2014
Board of Parks & Recreation,"76,432.63",2014
Community Services,"87,827.47",2014
Fire and Rescue Services,"111,025.16",2014
Engineering Services,"84,405.38",2014
Financial Services,"79,063.84",2014
Engineering Services,"85,137.82",2014
Fire and Rescue Services,"89,818.58",2014
Fire and Rescue Services,"82,839.73",2014
Financial Services,"123,302.12",2014
Engineering Services,"140,290.07",2014
Fire and Rescue Services,"83,857.38",2014
Fire and Rescue Services,"108,276.81",2014
Financial Services,"140,007.68",2014
Engineering Services,"90,666.61",2014
Board of Parks & Recreation,"76,163.06",2014
Fire and Rescue Services,"103,765.53",2014
Engineering Services,"77,635.90",2014
Engineering Services,"78,060.72",2014
Engineering Services,"78,272.84",2014
Community Services,"77,984.35",2014
Community Services,"116,980.78",2014
Financial Services,"99,685.66",2014
Engineering Services,"87,316.44",2014
Fire and Rescue Services,"84,243.33",2014
Engineering Services,"81,504.99",2014
Fire and Rescue Services,"85,220.64",2014
Engineering Services,"75,706.22",2014
Financial Services,"98,203.63",2014
Community Services,"85,653.25",2014
Office of the City Manager,"141,931.07",2014
Engineering Services,"112,177.84",2014
Fire and Rescue Services,"103,852.94",2014
Engineering Services,"85,463.28",2014
Engineering Services,"81,672.21",2014
Engineering Services,"99,319.21",2014
Fire and Rescue Services,"101,462.96",2014
Board of Parks & Recreation,"78,167.82",2014
Board of Parks & Recreation,"75,775.60",2014
Vancouver Public Library Board,"78,758.31",2014
Financial Services,"84,130.20",2014
Financial Services,"135,041.11",2014
Financial Services,"80,362.74",2014
Office of the City Manager,"101,601.00",2014
Fire and Rescue Services,"87,906.71",2014
Fire and Rescue Services,"85,310.68",2014
Engineering Services,"78,750.62",2014
Engineering Services,"118,107.56",2014
Engineering Services,"79,243.40",2014
Engineering Services,"77,536.65",2014
Law Department,"158,868.68",2014
Planning & Development Svcs,"87,137.80",2014
Human Resource Services,"100,660.11",2014
Engineering Services,"83,405.24",2014
Planning & Development Svcs,"81,423.39",2014
Engineering Services,"104,903.01",2014
Fire and Rescue Services,"78,366.63",2014
Financial Services,"119,254.68",2014
Fire and Rescue Services,"85,034.45",2014
Fire and Rescue Services,"86,531.81",2014
Engineering Services,"76,938.90",2014
Community Services,"82,531.73",2014
Fire and Rescue Services,"86,706.24",2014
Fire and Rescue Services,"85,876.93",2014
Fire and Rescue Services,"85,755.25",2014
Engineering Services,"106,357.93",2014
Fire and Rescue Services,"82,431.25",2014
Fire and Rescue Services,"88,976.19",2014
Fire and Rescue Services,"83,369.08",2014
Engineering Services,"119,401.64",2014
Engineering Services,"83,517.38",2014
Office of the City Manager,"95,437.37",2014
Board of Parks & Recreation,"79,034.85",2014
Planning & Development Svcs,"97,710.22",2014
Planning & Development Svcs,"79,345.91",2014
Community Services,"90,030.60",2014
Board of Parks & Recreation,"113,389.51",2014
Financial Services,"90,761.62",2014
Vancouver Public Library Board,"83,300.82",2014
Human Resource Services,"100,229.93",2014
Engineering Services,"83,372.28",2014
Engineering Services,"137,020.15",2014
Fire and Rescue Services,"104,773.60",2014
Law Department,"113,631.56",2014
Real Estate & Facilities Mgmt,"77,001.19",2014
Engineering Services,"112,836.04",2014
Law Department,"145,106.70",2014
Engineering Services,"78,005.33",2014
Financial Services,"99,330.83",2014
Real Estate & Facilities Mgmt,"112,490.48",2014
Fire and Rescue Services,"83,278.45",2014
Office of the City Manager,"113,671.44",2014
Community Services,"90,030.60",2014
Engineering Services,"94,412.40",2014
Fire and Rescue Services,"86,494.11",2014
Financial Services,"161,847.69",2014
Real Estate & Facilities Mgmt,"76,835.27",2014
Financial Services,"142,835.10",2014
Engineering Services,"97,437.23",2014
Fire and Rescue Services,"82,003.45",2014
Community Services,"98,242.38",2014
Financial Services,"110,778.79",2014
Financial Services,"98,939.45",2014
Financial Services,"99,685.68",2014
Fire and Rescue Services,"82,337.88",2014
Financial Services,"92,251.64",2014
Engineering Services,"83,126.24",2014
Fire and Rescue Services,"90,155.21",2014
Fire and Rescue Services,"82,927.32",2014
Financial Services,"83,815.30",2014
Real Estate & Facilities Mgmt,"95,759.16",2014
Fire and Rescue Services,"122,554.33",2014
Engineering Services,"141,630.58",2014
Fire and Rescue Services,"83,838.82",2014
Financial Services,"99,685.65",2014
Fire and Rescue Services,"84,133.15",2014
Financial Services,"80,718.93",2014
Engineering Services,"80,248.66",2014
Fire and Rescue Services,"155,145.38",2014
Community Services,"97,753.31",2014
Engineering Services,"76,029.66",2014
Planning & Development Svcs,"102,129.86",2014
Real Estate & Facilities Mgmt,"76,057.84",2014
Fire and Rescue Services,"102,396.96",2014
Board of Parks & Recreation,"79,547.66",2014
Real Estate & Facilities Mgmt,"108,047.01",2014
Fire and Rescue Services,"87,721.93",2014
Fire and Rescue Services,"82,163.39",2014
Board of Parks & Recreation,"171,428.12",2014
Vancouver Public Library Board,"92,357.69",2014
Engineering Services,"108,115.11",2014
Engineering Services,"78,661.61",2014
Fire and Rescue Services,"104,736.71",2014
Fire and Rescue Services,"94,382.40",2014
Financial Services,"84,022.52",2014
Fire and Rescue Services,"96,493.43",2014
Office of the City Manager,"284,392.87",2014
Fire and Rescue Services,"85,755.31",2014
Fire and Rescue Services,"92,424.04",2014
Planning & Development Svcs,"98,804.01",2014
Financial Services,"84,242.52",2014
Fire and Rescue Services,"76,327.97",2014
Engineering Services,"79,469.51",2014
Planning & Development Svcs,"104,797.24",2014
Engineering Services,"79,124.06",2014
Fire and Rescue Services,"84,557.51",2014
Community Services,"94,276.25",2014
Fire and Rescue Services,"87,715.71",2014
Financial Services,"85,685.91",2014
Engineering Services,"108,235.22",2014
Law Department,"160,675.76",2014
Planning & Development Svcs,"89,795.74",2014
Engineering Services,"107,235.89",2014
Financial Services,"97,004.04",2014
Engineering Services,"85,464.12",2014
Fire and Rescue Services,"81,624.91",2014
Financial Services,"92,862.70",2014
Financial Services,"98,903.17",2014
Financial Services,"83,749.52",2014
Real Estate & Facilities Mgmt,"79,913.25",2014
Financial Services,"195,705.90",2014
Financial Services,"96,883.50",2014
Financial Services,"104,017.73",2014
Engineering Services,"75,810.50",2014
Fire and Rescue Services,"85,207.47",2014
Financial Services,"98,939.46",2014
Financial Services,"99,162.70",2014
Fire and Rescue Services,"86,095.08",2014
Fire and Rescue Services,"96,787.35",2014
Fire and Rescue Services,"75,684.95",2014
Fire and Rescue Services,"84,592.12",2014
Real Estate & Facilities Mgmt,"95,965.73",2014
Fire and Rescue Services,"84,621.97",2014
Fire and Rescue Services,"84,977.01",2014
Fire and Rescue Services,"143,360.39",2014
Engineering Services,"97,559.57",2014
Engineering Services,"78,558.43",2014
Office of the City Manager,"117,835.07",2014
Fire and Rescue Services,"80,207.93",2014
Engineering Services,"108,453.25",2014
Financial Services,"87,739.21",2014
Fire and Rescue Services,"96,383.35",2014
Law Department,"162,048.63",2014
Planning & Development Svcs,"76,181.34",2014
Real Estate & Facilities Mgmt,"101,438.88",2014
Community Services,"94,027.84",2014
Real Estate & Facilities Mgmt,"105,636.48",2014
Community Services,"93,053.11",2014
Financial Services,"96,247.55",2014
Fire and Rescue Services,"120,794.02",2014
Financial Services,"162,271.00",2014
Engineering Services,"96,697.76",2014
Engineering Services,"76,719.62",2014
Engineering Services,"75,598.29",2014
Law Department,"164,433.16",2014
Office of the City Manager,"80,565.90",2014
Financial Services,"120,629.72",2014
Law Department,"176,815.23",2014
Financial Services,"79,148.08",2014
Financial Services,"81,623.94",2014
Real Estate & Facilities Mgmt,"84,766.64",2014
Law Department,"182,122.93",2014
Financial Services,"79,621.35",2014
Planning & Development Svcs,"98,216.13",2014
Engineering Services,"105,250.93",2014
Fire and Rescue Services,"139,225.99",2014
Engineering Services,"82,963.94",2014
Fire and Rescue Services,"84,668.06",2014
Financial Services,"91,984.67",2014
Office of the City Manager,"77,257.71",2014
Fire and Rescue Services,"104,070.88",2014
Engineering Services,"79,503.66",2014
Financial Services,"108,928.58",2014
Financial Services,"78,930.21",2014
Fire and Rescue Services,"85,217.17",2014
Fire and Rescue Services,"84,620.38",2014
Engineering Services,"75,569.04",2014
Board of Parks & Recreation,"87,159.62",2014
Office of the City Manager,"83,955.48",2014
Community Services,"90,147.60",2014
Human Resource Services,"85,389.95",2014
Fire and Rescue Services,"89,586.78",2014
Engineering Services,"76,432.62",2014
Board of Parks & Recreation,"77,055.90",2014
Engineering Services,"82,805.80",2014
Engineering Services,"91,363.65",2014
Financial Services,"90,030.36",2014
Board of Parks & Recreation,"80,994.86",2014
Fire and Rescue Services,"86,488.99",2014
Financial Services,"87,579.05",2014
Financial Services,"123,386.17",2014
Financial Services,"79,374.87",2014
Community Services,"89,214.26",2014
Real Estate & Facilities Mgmt,"128,064.63",2014
Fire and Rescue Services,"87,751.93",2014
Engineering Services,"81,521.63",2014
Engineering Services,"111,358.29",2014
Engineering Services,"78,354.18",2014
Human Resource Services,"106,665.65",2014
Engineering Services,"127,977.65",2014
Engineering Services,"139,453.49",2014
Board of Parks & Recreation,"78,743.84",2014
Fire and Rescue Services,"75,888.29",2014
Fire and Rescue Services,"89,116.65",2014
Engineering Services,"83,286.31",2014
Vancouver Public Library Board,"77,527.16",2014
Financial Services,"114,333.42",2014
Fire and Rescue Services,"86,530.35",2014
Fire and Rescue Services,"102,884.40",2014
Engineering Services,"94,397.71",2014
Engineering Services,"76,323.87",2014
Financial Services,"98,944.65",2014
Fire and Rescue Services,"143,733.80",2014
Engineering Services,"77,956.09",2014
Fire and Rescue Services,"103,992.83",2014
Law Department,"93,742.97",2014
Fire and Rescue Services,"88,149.38",2014
Fire and Rescue Services,"82,457.06",2014
Community Services,"121,630.77",2014
Engineering Services,"81,374.62",2014
Community Services,"88,901.04",2014
Board of Parks & Recreation,"139,294.57",2014
City Clerk's Office,"160,761.61",2014
Engineering Services,"140,683.43",2014
Fire and Rescue Services,"83,366.02",2014
Community Services,"90,147.60",2014
Engineering Services,"78,637.28",2014
Board of Parks & Recreation,"114,537.20",2014
Fire and Rescue Services,"86,315.30",2014
Office of the City Manager,"75,211.96",2014
Real Estate & Facilities Mgmt,"75,306.10",2014
Engineering Services,"85,980.60",2014
Board of Parks & Recreation,"76,432.62",2014
Fire and Rescue Services,"87,137.37",2014
Engineering Services,"79,205.95",2014
Mayor & City Council,"106,465.33",2014
Engineering Services,"121,944.99",2014
Board of Parks & Recreation,"110,345.39",2014
Planning & Development Svcs,"85,098.18",2014
Planning & Development Svcs,"82,486.27",2014
Fire and Rescue Services,"87,959.67",2014
Real Estate & Facilities Mgmt,"90,864.67",2014
Financial Services,"110,050.43",2014
Engineering Services,"85,324.66",2014
Financial Services,"82,551.36",2014
Engineering Services,"84,319.93",2014
Engineering Services,"78,154.15",2014
Engineering Services,"112,829.85",2014
Planning & Development Svcs,"82,541.62",2014
Financial Services,"82,355.59",2014
Engineering Services,"81,136.14",2014
Board of Parks & Recreation,"135,308.98",2014
Fire and Rescue Services,"95,859.54",2014
Fire and Rescue Services,"108,740.97",2014
Fire and Rescue Services,"82,584.00",2014
Engineering Services,"83,430.65",2014
Real Estate & Facilities Mgmt,"114,581.72",2014
Fire and Rescue Services,"87,437.11",2014
Community Services,"101,287.23",2014
Engineering Services,"120,321.31",2014
Fire and Rescue Services,"136,508.73",2014
Board of Parks & Recreation,"116,345.55",2014
Community Services,"83,453.98",2014
Financial Services,"140,264.38",2014
Fire and Rescue Services,"76,280.11",2014
Community Services,"84,575.23",2014
Fire and Rescue Services,"98,726.31",2014
Human Resource Services,"89,118.40",2014
